Source,Target,Direct Lines,Direct Words,Indirect Lines,Indirect Words,Talked About,Mentions
Alliser Thorne,Bran Stark,0,0,0,0,2,0
Alliser Thorne,Grenn,4,74,9,70,2,0
Alliser Thorne,Jeor Mormont,0,0,0,0,2,0
Alliser Thorne,Jeren,3,50,7,63,0,0
Alliser Thorne,Jon Snow,15,126,6,84,2,0
Alliser Thorne,Toad,3,50,7,63,0,0
Alliser Thorne,Tyrion Lannister,4,37,7,60,0,0
Arya Stark,Arya Stark,1,1,0,0,0,0
Arya Stark,Barristan Selmy,0,0,12,50,0,0
Arya Stark,Beth Cassel,2,7,5,23,0,0
Arya Stark,Bran Stark,0,0,0,0,3,1
Arya Stark,Cersei Lannister,5,25,7,25,1,0
Arya Stark,Eddard Stark,4,18,8,32,0,0
Arya Stark,Jeyne Poole,2,7,5,23,0,0
Arya Stark,Joffrey Baratheon,5,15,14,60,2,0
Arya Stark,Jon Snow,30,193,1,3,2,1
Arya Stark,Jory Cassel,0,0,12,50,0,0
Arya Stark,Mordane,2,8,0,0,2,2
Arya Stark,Mycah,0,0,5,19,5,3
Arya Stark,Myrcella Baratheon,1,5,3,13,1,1
Arya Stark,Nymeria,8,28,0,0,0,0
Arya Stark,Renly Baratheon,0,0,8,37,0,0
Arya Stark,Rhaegar Targaryen,0,0,0,0,1,1
Arya Stark,Robb Stark,0,0,0,0,1,0
Arya Stark,Robert Baratheon,2,7,10,43,1,1
Arya Stark,Sansa Stark,25,212,13,51,0,0
Arya Stark,Tommen Baratheon,0,0,0,0,1,0
Arya Stark,Vayon Poole,0,0,4,13,0,0
Barristan Selmy,Arya Stark,0,0,1,10,0,0
Barristan Selmy,Cersei Lannister,1,10,4,61,0,0
Barristan Selmy,Eddard Stark,0,0,1,10,1,1
Barristan Selmy,Ilyn Payne,0,0,4,61,1,1
Barristan Selmy,Joffrey Baratheon,0,0,5,71,0,0
Barristan Selmy,Jory Cassel,0,0,1,10,0,0
Barristan Selmy,Renly Baratheon,0,0,4,61,1,0
Barristan Selmy,Sansa Stark,4,61,1,10,0,0
Barristan Selmy,Vayon Poole,0,0,1,10,0,0
Benjen Stark,Alliser Thorne,0,0,0,0,1,1
Benjen Stark,Bran Stark,0,0,0,0,1,0
Benjen Stark,Daeren I Targaryen,0,0,0,0,2,1
Benjen Stark,Eddard Stark,0,0,0,0,2,0
Benjen Stark,Jon Snow,29,395,0,0,0,0
Benjen Stark,Rickon Stark,0,0,0,0,1,0
Benjen Stark,Robb Stark,0,0,0,0,1,0
Benjen Stark,Tyrion Lannister,2,21,1,20,0,0
Beth Cassel,Arya Stark,2,14,0,0,0,0
Beth Cassel,Jeyne Poole,0,0,2,14,0,0
Beth Cassel,Joffrey Baratheon,0,0,0,0,1,0
Beth Cassel,Sansa Stark,0,0,2,14,2,0
Bran Stark,Catelyn Stark,0,0,0,0,1,1
Bran Stark,Cersei Lannister,0,0,1,1,0,0
Bran Stark,Desmond,0,0,7,16,0,0
Bran Stark,Eddard Stark,12,64,2,3,0,0
Bran Stark,Gared,0,0,0,0,2,0
Bran Stark,Harwin,0,0,7,16,0,0
Bran Stark,Hullen,0,0,7,16,0,0
Bran Stark,Jaime Lannister,1,1,0,0,0,0
Bran Stark,Jon Snow,0,0,7,16,1,1
Bran Stark,Jory Cassel,0,0,7,16,0,0
Bran Stark,Luwin,1,10,0,0,0,0
Bran Stark,Robb Stark,1,4,7,16,1,1
Bran Stark,Robert Baratheon,0,0,0,0,1,1
Bran Stark,Summer,4,17,0,0,0,0
Bran Stark,Theon Greyjoy,2,3,5,13,0,0
Bran Stark,Three-Eyed crow,15,53,1,9,0,0
Catelyn Stark,Aron Santagar,0,0,0,0,2,1
Catelyn Stark,Arya Stark,0,0,0,0,8,2
Catelyn Stark,Benjen Stark,0,0,0,0,1,0
Catelyn Stark,Bran Stark,0,0,0,0,28,17
Catelyn Stark,Brandon Stark,0,0,0,0,4,4
Catelyn Stark,Brynden Tully,0,0,0,0,1,1
Catelyn Stark,Catelyn Stark,0,0,0,0,1,0
Catelyn Stark,Cersei Lannister,0,0,0,0,3,1
Catelyn Stark,Eddard Stark,85,921,5,65,7,5
Catelyn Stark,Hallis Mollen,12,116,4,41,0,0
Catelyn Stark,Hoster Tully,0,0,0,0,1,0
Catelyn Stark,Jaime Lannister,1,19,0,0,2,1
Catelyn Stark,Joffrey Baratheon,0,0,0,0,3,0
Catelyn Stark,Jon Arryn,0,0,0,0,6,6
Catelyn Stark,Jon Snow,11,87,0,0,3,1
Catelyn Stark,Luwin,20,258,52,457,6,6
Catelyn Stark,Lysa Arryn,0,0,0,0,10,6
Catelyn Stark,Moreo Tumitis,6,77,1,14,1,0
Catelyn Stark,Myrcella Baratheon,0,0,0,0,1,0
Catelyn Stark,Petyr Baelish,15,145,24,236,10,6
Catelyn Stark,Pycelle,0,0,0,0,1,1
Catelyn Stark,Rickon Stark,0,0,0,0,5,1
Catelyn Stark,Robb Stark,39,395,17,282,4,0
Catelyn Stark,Robert Arryn,0,0,0,0,3,0
Catelyn Stark,Robert Baratheon,0,0,0,0,9,4
Catelyn Stark,Rodrik Cassel,26,452,27,263,2,2
Catelyn Stark,Sansa Stark,0,0,0,0,9,2
Catelyn Stark,Summer,1,2,0,0,0,0
Catelyn Stark,Theon Greyjoy,13,181,27,286,0,0
Catelyn Stark,Tommen Baratheon,0,0,0,0,2,1
Catelyn Stark,Tyrion Lannister,0,0,0,0,1,0
Catelyn Stark,Unknown (Bran's assassin),3,5,0,0,7,0
Catelyn Stark,Unknown (Gold Cloak),4,18,2,10,0,0
Catelyn Stark,Unknown (Servants),2,17,0,0,0,0
Catelyn Stark,Varys,11,82,4,12,4,2
Cersei Lannister,Arya Stark,2,21,13,140,5,0
Cersei Lannister,Barristan Selmy,5,53,18,224,1,0
Cersei Lannister,Bran Stark,0,0,4,15,3,0
Cersei Lannister,Eddard Stark,3,50,12,111,8,3
Cersei Lannister,Ilyn Payne,0,0,8,116,4,1
Cersei Lannister,Jaime Lannister,20,274,12,97,0,0
Cersei Lannister,Joffrey Baratheon,2,51,21,226,6,2
